lr-AdamW,step,val/loss_reg,val/mse_reg,val/r2_reg,val/pearson_reg,epoch,train/loss_reg,train/mse_reg,train/r2_reg,train/pearson_reg
,6984,0.1062312126159668,0.192040354013443,0.7741131782531738,0.8856672048568726,54,,,,
,6984,,,,,54,0.11027335375547409,0.19922873377799988,0.7649403810501099,0.8753557801246643
0.001,6985,,,,,,,,,
,7111,0.10826209932565689,0.19554924964904785,0.7699777483940125,0.8838122487068176,55,,,,
,7111,,,,,55,0.11101899296045303,0.20067302882671356,0.7631346583366394,0.8746479153633118
0.001,7112,,,,,,,,,
,7238,0.10602551698684692,0.19155184924602509,0.7746754288673401,0.8856405019760132,56,,,,
,7238,,,,,56,0.11074648797512054,0.2000594288110733,0.7638776898384094,0.8749292492866516
0.001,7239,,,,,,,,,
,7365,0.10591675341129303,0.1912810504436493,0.775008499622345,0.8858594298362732,57,,,,
,7365,,,,,57,0.11098360270261765,0.20049314200878143,0.7634031772613525,0.8750337958335876
0.001,7366,,,,,,,,,
,7492,0.10714808106422424,0.19371670484542847,0.7721395492553711,0.8860174417495728,58,,,,
,7492,,,,,58,0.11032734811306,0.19935056567192078,0.7647615671157837,0.8752104043960571
0.001,7493,,,,,,,,,
,7619,0.10926647484302521,0.19753257930278778,0.7676331400871277,0.8860419988632202,59,,,,
,7619,,,,,59,0.11051379144191742,0.1996956467628479,0.7642067670822144,0.8752119541168213
0.001,7620,,,,,,,,,
,7746,0.10462764650583267,0.18899983167648315,0.7776976823806763,0.8854571580886841,60,,,,
,7746,,,,,60,0.11015629768371582,0.19895899295806885,0.7653431296348572,0.8756434917449951
0.001,7747,,,,,,,,,
,7873,0.1061842292547226,0.19187168776988983,0.7743083238601685,0.8851959705352783,61,,,,
,7873,,,,,61,0.11058873683214188,0.1998288631439209,0.7641290426254272,0.8752791881561279
0.001,7874,,,,,,,,,
,8000,0.10469779372215271,0.1891770213842392,0.7774894833564758,0.8855472207069397,62,,,,
,8000,,,,,62,0.11000149697065353,0.1988033950328827,0.7654523253440857,0.8756911754608154
0.001,8001,,,,,,,,,
,8127,0.10451577603816986,0.18879425525665283,0.7779353260993958,0.8856574892997742,63,,,,
,8127,,,,,63,0.11010272800922394,0.19890442490577698,0.7652478218078613,0.8758345246315002
0.001,8128,,,,,,,,,
,8254,0.10324621200561523,0.18658383190631866,0.7805576920509338,0.8853713870048523,64,,,,
,8254,,,,,64,0.11024599522352219,0.19915659725666046,0.764971137046814,0.8757544159889221
0.001,8255,,,,,,,,,
,8381,0.10739202052354813,0.1938987672328949,0.7719042897224426,0.8859540820121765,65,,,,
,8381,,,,,65,0.1101405918598175,0.1990049183368683,0.7651533484458923,0.8757626414299011
0.001,8382,,,,,,,,,
,8508,0.10374279320240021,0.18732638657093048,0.7796697616577148,0.8863393068313599,66,,,,
,8508,,,,,66,0.11007214337587357,0.1988593339920044,0.7653457522392273,0.8757805824279785
0.001,8509,,,,,,,,,
,8635,0.10463852435350418,0.18898241221904755,0.7777107954025269,0.8861753344535828,67,,,,
,8635,,,,,67,0.10989203304052353,0.19855600595474243,0.7656664848327637,0.8759944438934326
0.001,8636,,,,,,,,,
,8762,0.1053733304142952,0.19033682346343994,0.7761206030845642,0.8857731223106384,68,,,,
,8762,,,,,68,0.10973435640335083,0.1982092261314392,0.766143798828125,0.8760932683944702
0.001,8763,,,,,,,,,
,8889,0.10993512719869614,0.19887509942054749,0.7660406231880188,0.884163498878479,69,,,,
,8889,,,,,69,0.10954494774341583,0.19792994856834412,0.7664538025856018,0.8760159015655518
0.001,8890,,,,,,,,,
,9016,0.10513931512832642,0.18995387852191925,0.7765724062919617,0.8846448659896851,70,,,,
,9016,,,,,70,0.10963982343673706,0.19814538955688477,0.7662273645401001,0.8763527870178223
0.001,9017,,,,,,,,,
,9143,0.1058991551399231,0.19134840369224548,0.774930477142334,0.8857162594795227,71,,,,
,9143,,,,,71,0.10926628857851028,0.1974119246006012,0.7670098543167114,0.8765907287597656
0.001,9144,,,,,,,,,
,9270,0.10806113481521606,0.19520387053489685,0.770392656326294,0.8859795928001404,72,,,,
,9270,,,,,72,0.10933465510606766,0.19755691289901733,0.7668649554252625,0.8762949705123901
0.001,9271,,,,,,,,,
,9397,0.1119857132434845,0.20246003568172455,0.761828601360321,0.8861896395683289,73,,,,
,9397,,,,,73,0.10954955965280533,0.19798511266708374,0.7663235664367676,0.8761734366416931
0.001,9398,,,,,,,,,
,9524,0.1017591580748558,0.18375785648822784,0.7838703989982605,0.8859506845474243,74,,,,
,9524,,,,,74,0.10936202853918076,0.19757774472236633,0.7668259143829346,0.8765240907669067
0.001,9525,,,,,,,,,
,9651,0.10481102019548416,0.18920131027698517,0.7774506211280823,0.8859151005744934,75,,,,
,9651,,,,,75,0.10979880392551422,0.19848011434078217,0.7658222317695618,0.876211404800415
0.001,9652,,,,,,,,,
,9778,0.10585974901914597,0.19132323563098907,0.7749626636505127,0.8854745626449585,76,,,,
,9778,,,,,76,0.10906659066677094,0.19698049128055573,0.7675514221191406,0.8766568303108215
0.001,9779,,,,,,,,,
,9905,0.10315064340829849,0.18628759682178497,0.7809051275253296,0.8863336443901062,77,,,,
,9905,,,,,77,0.10940398275852203,0.19771696627140045,0.7666620016098022,0.8763958215713501
0.001,9906,,,,,,,,,
,10032,0.10576694458723068,0.19084438681602478,0.7755005359649658,0.8845757246017456,78,,,,
,10032,,,,,78,0.10913881659507751,0.19722773134708405,0.7672341465950012,0.8767496347427368
0.001,10033,,,,,,,,,
,10159,0.10554418712854385,0.19065338373184204,0.7757281064987183,0.8856584429740906,79,,,,
,10159,,,,,79,0.1092061921954155,0.19728092849254608,0.7672734260559082,0.8768796324729919
0.001,10160,,,,,,,,,
,10286,0.10709398239850998,0.1935369372367859,0.7723512053489685,0.8859215378761292,80,,,,
,10286,,,,,80,0.1092502623796463,0.19735468924045563,0.7670125961303711,0.8769803047180176
0.001,10287,,,,,,,,,
,10413,0.10465190559625626,0.18895143270492554,0.7777426838874817,0.8860202431678772,81,,,,
,10413,,,,,81,0.10940269380807877,0.19765087962150574,0.7667834162712097,0.876679539680481
0.001,10414,,,,,,,,,
,10540,0.10231100022792816,0.1847679764032364,0.7826794385910034,0.8860155940055847,82,,,,
